x,y,yhat,baseline,residual,Lcore,alpha,gamma_tr,Epair_star,Rcore,mode_1,mode_2,mode_3
8.3,0.001603333333333327,0.0015974345131004482,0.0002825866295566204,5.898820232878854e-06,0.9915458599123345,0.9915458599123345,0.5529364119005317,0.05080322836171566,1246.8576695685415,0.0012519398723987378,6.269758738928691e-05,2.104237558031198e-07
8.35,0.0016158333333333719,0.001598397678917485,0.00028259384377036416,1.743565441588682e-05,0.9922667568817749,0.9922667568817749,0.5531605203954848,0.05082277273505849,1247.3373448290567,0.0012527327143324024,6.286028457430347e-05,2.1083624041500344e-07
8.4,0.0016333333333333755,0.0015993190148523796,0.000282601067156855,3.401431848099588e-05,0.9929561024130774,0.9929561024130774,0.5533746856128887,0.05084144920880083,1247.7957193315654,0.00125348311481367,6.30235829430037e-05,2.112499388507324e-07
8.45,0.001671666666666738,0.0016001983693141367,0.0002826082997160928,7.146829735260119e-05,0.9936137821892742,0.9936137821892742,0.5535788902690091,0.050859256378199956,1248.2327585996316,0.001254190919461796,6.31874852803712e-05,2.116648558766588e-07
8.5,0.0017137500000000323,0.0016010355992348143,0.00028261554144807757,0.00011271440076521797,0.9942396883207548,0.9942396883207548,0.5537731182941802,0.05087619293982811,1248.648430643381,0.00125485598240418,6.335199438627429e-05,2.1208099628254834e-07
8.55,0.0017258333333333524,0.0016018305701442927,0.0002826227923528094,0.0001240027631890597,0.9948337194016519,0.9948337194016519,0.5539573548385242,0.05089225769202703,1249.042705970656,0.0012554781663510507,6.351711307555074e-05,2.124983648817186e-07
8.6,0.0017066666666666712,0.001602583156240817,0.0002826300524302882,0.00010408351042585418,0.995395780563037,0.995395780563037,0.5541315862773197,0.050907449535334555,1249.4155575974858,0.0012560573426659246,6.368284417809287e-05,2.1291696651117828e-07
8.65,0.0016604166666666458,0.0016032932404572526,0.0002826373216805141,5.712342620939315e-05,0.9959257835228862,0.9959257835228862,0.554295800216019,0.050921767472883336,1249.766961057872,0.0012565933914317734,6.384919053893323e-05,2.1333680603176668e-07
8.7,0.0016420833333333402,0.0016039607145229794,0.00028264460010348695,3.8122618810360834e-05,0.9964236466327545,0.9964236466327545,0.5544499854949053,0.05093521061077103,1250.0968944128747,0.0012570862015128337,6.40161550183305e-05,2.1375788832829543e-07
8.75,0.0016204166666666797,0.001604585479021376,0.0002826518876992068,1.5831187645303814e-05,0.9968892949211257,0.9968892949211257,0.5545941321933934,0.05094777815840214,1250.4053382590007,0.0012575356706120032,6.418374049185611e-05,2.141802183096898e-07
